Ward,Old Ward,Borough,WardName,1  Total;2001/02,1  Total;2002/03,1  Total;2003/04,1  Total;2004/05,1  Total;2005/06,1  Total;2006/07,1  Total;2007/08,1  Total;2008/09,1  Total;2009/10,1  Total;2010/11,1  Total;2011/12,1  Total;2012/13,1  Total;2013/14,1  Total;2014/15,2  Violence Against The Person;2001/02,2  Violence Against The Person;2002/03,2  Violence Against The Person;2003/04,2  Violence Against The Person;2004/05,2  Violence Against The Person;2005/06,2  Violence Against The Person;2006/07,2  Violence Against The Person;2007/08,2  Violence Against The Person;2008/09,2  Violence Against The Person;2009/10,2  Violence Against The Person;2010/11,2  Violence Against The Person;2011/12,2  Violence Against The Person;2012/13,2  Violence Against The Person;2013/14,2  Violence Against The Person;2014/15,3  Sexual Offences;2001/02,3  Sexual Offences;2002/03,3  Sexual Offences;2003/04,3  Sexual Offences;2004/05,3  Sexual Offences;2005/06,3  Sexual Offences;2006/07,3  Sexual Offences;2007/08,3  Sexual Offences;2008/09,3  Sexual Offences;2009/10,3  Sexual Offences;2010/11,3  Sexual Offences;2011/12,3  Sexual Offences;2012/13,3  Sexual Offences;2013/14,3  Sexual Offences;2014/15,4  Robbery;2001/02,4  Robbery;2002/03,4  Robbery;2003/04,4  Robbery;2004/05,4  Robbery;2005/06,4  Robbery;2006/07,4  Robbery;2007/08,4  Robbery;2008/09,4  Robbery;2009/10,4  Robbery;2010/11,4  Robbery;2011/12,4  Robbery;2012/13,4  Robbery;2013/14,4  Robbery;2014/15,5  Burglary;2001/02,5  Burglary;2002/03,5  Burglary;2003/04,5  Burglary;2004/05,5  Burglary;2005/06,5  Burglary;2006/07,5  Burglary;2007/08,5  Burglary;2008/09,5  Burglary;2009/10,5  Burglary;2010/11,5  Burglary;2011/12,5  Burglary;2012/13,5  Burglary;2013/14,5  Burglary;2014/15,6  Theft And Handling;2001/02,6  Theft And Handling;2002/03,6  Theft And Handling;2003/04,6  Theft And Handling;2004/05,6  Theft And Handling;2005/06,6  Theft And Handling;2006/07,6  Theft And Handling;2007/08,6  Theft And Handling;2008/09,6  Theft And Handling;2009/10,6  Theft And Handling;2010/11,6  Theft And Handling;2011/12,6  Theft And Handling;2012/13,6  Theft And Handling;2013/14,6  Theft And Handling;2014/15,7  Fraud Or Forgery*;2001/02,7  Fraud Or Forgery*;2002/03,7  Fraud Or Forgery*;2003/04,7  Fraud Or Forgery*;2004/05,7  Fraud Or Forgery*;2005/06,7  Fraud Or Forgery*;2006/07,7  Fraud Or Forgery*;2007/08,7  Fraud Or Forgery*;2008/09,7  Fraud Or Forgery*;2009/10,7  Fraud Or Forgery*;2010/11,7  Fraud Or Forgery*;2011/12,7  Fraud Or Forgery*;2012/13,7  Fraud Or Forgery*;2013/14,7  Fraud Or Forgery*;2014/15,8  Criminal Damage;2001/02,8  Criminal Damage;2002/03,8  Criminal Damage;2003/04,8  Criminal Damage;2004/05,8  Criminal Damage;2005/06,8  Criminal Damage;2006/07,8  Criminal Damage;2007/08,8  Criminal Damage;2008/09,8  Criminal Damage;2009/10,8  Criminal Damage;2010/11,8  Criminal Damage;2011/12,8  Criminal Damage;2012/13,8  Criminal Damage;2013/14,8  Criminal Damage;2014/15,9  Drugs;2001/02,9  Drugs;2002/03,9  Drugs;2003/04,9  Drugs;2004/05,9  Drugs;2005/06,9  Drugs;2006/07,9  Drugs;2007/08,9  Drugs;2008/09,9  Drugs;2009/10,9  Drugs;2010/11,9  Drugs;2011/12,9  Drugs;2012/13,9  Drugs;2013/14,9  Drugs;2014/15,10  Other Notifiable Offences;2001/02,10  Other Notifiable Offences;2002/03,10  Other Notifiable Offences;2003/04,10  Other Notifiable Offences;2004/05,10  Other Notifiable Offences;2005/06,10  Other Notifiable Offences;2006/07,10  Other Notifiable Offences;2007/08,10  Other Notifiable Offences;2008/09,10  Other Notifiable Offences;2009/10,10  Other Notifiable Offences;2010/11,10  Other Notifiable Offences;2011/12,10  Other Notifiable Offences;2012/13,10  Other Notifiable Offences;2013/14,10  Other Notifiable Offences;2014/15,Population;2001,Population;2002,Population;2003,Population;2004,Population;2005,Population;2006,Population;2007,Population;2008,Population;2009,Population;2010,Population;2011,Population;2012,Population;2013
E05000026,1,Barking and Dagenham,Abbey,277.9127393,302.8472821,278.9663006,299.5051816,247.5438435,255.4962454,209.4900222,215,220.746888,206.1781609,182.5680934,164.3609023,142.5765622,138.1392304,54.12496356,59.72581728,60.01514578,71.79535057,58.85593609,53.19822673,50.82039911,53.01724138,55.3526971,46.6954023,42.87937743,35.71428571,37.24448971,45.31897869,2.429307162,3.451251079,1.893222264,3.267668752,1.744559728,4.61413191,7.006651885,3.534482759,2.65560166,2.873563218,2.490272374,1.428571429,2.255037463,3.055212046,18.55990671,15.72236602,15.42976145,15.31136215,13.31374529,13.39002986,8.691796009,10.51724138,12.19917012,12.13282248,9.961089494,6.541353383,6.25591038,3.85538663,18.75425129,22.24139584,22.71866717,17.92549715,13.68102103,16.64706415,11.61862528,8.706896552,13.94190871,9.578544061,10.19455253,10.97744361,6.6196261,5.819451517,108.9301331,116.0962516,105.1684968,115.7688358,96.50169865,103.1394192,73.08203991,77.15517241,74.02489627,76.86781609,75.95330739,71.35338346,64.95962756,56.52142286,30.31775338,31.63646822,26.59977281,25.11436841,20.29198421,18.99936669,11.0864745,15.43103448,11.70124481,13.80906769,7.392996109,10.15037594,0.581945152,0.436458864,34.88485084,31.34886396,27.9250284,35.75763234,25.98475806,23.16113272,22.08425721,18.36206897,23.07053942,18.19923372,15.71984436,11.95488722,9.311122427,9.456608715,7.190749198,19.74882562,16.37637259,10.17645411,14.59921036,19.27078621,21.72949002,24.56896552,23,23,15,14,13,11,3,3,3,4,3,3,3.370288248,3.706896552,5.062240664,3.11302682,2.645914397,2.180451128,2.836982614,2.400523751,10291,10431,10564,10711,10891,11053,11275,11600,12050,12528,12850,13300,13747
E05000027,2,Barking and Dagenham,Alibon,79.37693375,83.73282199,86.31332482,81.03228547,89.70836855,96.78778304,88.55472013,94.95944975,96.83221745,95.74261275,91.38755981,83.94230769,75.6896058,73.58976806,17.81713432,22.26483435,24.47850149,24.85131691,28.74049028,23.69668246,23.18295739,28.1285289,27.98041371,27.60497667,23.25358852,22.88461538,24.62536986,27.58423213,0.960204844,1.49142431,0.957854406,0.637213254,1.90194421,1.263823065,1.04427736,0.615953188,1.299090637,1.166407465,0.956937799,1.057692308,1.43170755,2.29073208,3.627440521,2.130606157,2.234993614,1.486830926,2.218934911,4.739336493,3.341687552,2.669130479,3.797341861,2.624416796,5.167464115,3.365384615,1.9089434,2.00439057,7.574949323,6.711409396,7.449978714,7.858963466,6.868131868,8.952080042,8.458646617,7.494097115,10.59258519,12.15007776,13.39712919,12.11538462,6.585854729,7.253984919,27.63256161,22.15830404,24.90421456,24.63891249,24.19695689,29.27856767,26.42021721,22.79026794,24.38293195,22.64774495,25.45454545,23.46153846,22.14374344,18.32585664,1.81372026,1.49142431,1.277139208,1.168224299,2.218934911,3.791469194,3.863826232,4.722307771,3.997201959,4.568429238,4.880382775,2.884615385,0,0,15.46996693,23.33013742,19.58280119,17.31096007,19.0194421,19.90521327,13.053467,17.55466585,17.18796842,16.52410575,11.96172249,10,10.4991887,8.590245299,3.414061666,2.876318313,4.150702427,1.699235344,2.852916314,4.212743549,8.040935673,9.239297813,6,6,4,6,7,5,1,1,1,1,2,1,1.148705096,1.745200698,1.89867093,2.624416796,2.009569378,1.730769231,1.14536604,2.29073208,9373,9387,9396,9416,9464,9495,9576,9741,10007,10288,10450,10400,10477
E05000028,3,Barking and Dagenham,Becontree,86.01404665,89.42307692,105.4580725,106.4510396,111.7064024,109.8624472,100.5043228,102.1466905,109.3708755,97.65591212,98.79310345,85.71428571,79.32573128,79.90414807,21.59021937,21.67832168,29.27431443,29.76719389,28.12751138,27.6004675,26.74711816,26.47584973,25.60492741,22.1434132,20.60344828,17.73109244,21.31879028,29.0034705,0.780369375,0.524475524,0.617229521,0.710858361,0.892936869,0.719230423,1.44092219,1.252236136,2.199736032,1.037972494,0.775862069,0.924369748,1.074202611,1.983143282,3.208185208,3.234265734,4.056079711,2.488004265,3.571747477,3.0567293,2.521613833,4.025044723,4.575450946,5.016867053,5.172413793,2.605042017,3.635762684,2.561560073,8.584063123,12.15034965,10.14019928,10.84059001,13.12617198,12.94614762,11.79755043,10.37567084,16.80598328,15.13709887,14.74137931,14.95798319,12.9730623,11.56833581,26.44585104,25.17482517,31.83140817,29.500622,30.35985356,32.27546525,26.74711816,25.40250447,25.42894853,26.98728484,30.25862069,30.25210084,28.1771608,22.06246901,3.208185208,5.41958042,3.350674544,6.753154434,7.85784445,6.023554796,4.232708934,8.765652952,8.622965244,8.649770781,8.879310345,5.798319328,0.08263097,0.08263097,19.42252666,16.08391608,21.42668195,23.54718322,23.39494598,21.21729749,18.37175793,16.99463327,18.21381434,11.76368826,11.89655172,5.882352941,6.114691786,7.849942158,1.820861875,4.195804196,3.791552773,2.132575084,2.678810608,3.865863526,7.654899135,7.066189624,6,5,5,6,5,4,1,1,1,1,2,2,0.990634006,1.788908766,2.375714914,1.902949572,1.465517241,1.260504202,1.239464551,1.074202611,11533,11440,11341,11254,11199,11123,11104,11180,11365,11561,11600,11900,12102
E05000029,4,Barking and Dagenham,Chadwell Heath,118.1924758,132.9560017,156.5478103,156.6756032,152.9235382,137.8682378,127.2921109,128.6555859,111.933395,119.3176116,97.42574257,84.5320197,72.40704501,76.12524462,26.53735479,31.9307988,26.98361709,36.46112601,35.01820518,27.85216926,29.53091684,30.82263833,24.56573132,23.38183643,18.61386139,18.62068966,19.66731898,25.04892368,0.53287861,0.747543785,1.177856302,1.286863271,1.927607625,0.856989823,1.066098081,0.525983589,1.23342584,0.802809834,0.495049505,0.689655172,1.272015656,2.152641879,7.566876266,2.88338317,5.246814434,5.898123324,5.354465624,3.963577933,5.223880597,3.997475279,5.139274334,7.22528851,6.633663366,2.75862069,2.054794521,2.250489237,14.06799531,15.37804357,17.88200021,15.12064343,14.24287856,16.38993037,12.47334755,16.30549127,19.42645698,19.26743603,17.12871287,16.0591133,13.3072407,11.64383562,30.16092934,37.59077317,42.72406039,35.71045576,46.79802956,38.88591323,39.55223881,37.55522828,34.7414945,38.43452082,33.96039604,28.57142857,24.55968689,21.13502935,13.5351167,12.92182828,19.05985652,15.97855228,14.45705719,12.74772362,5.756929638,1.998737639,2.672422654,2.207727045,4.554455446,2.660098522,0,0.097847358,23.44665885,27.65912003,38.11971303,41.50134048,32.23388306,32.02999464,25.0533049,27.14075321,17.16517628,21.5755143,11.28712871,10.73891626,7.632093933,9.197651663,1.278908665,2.029047416,4.283113824,2.895442359,1.606339687,4.284949116,7.8891258,8.731327583,4,4,3,3,3,3,1,2,1,2,1,1,0.746268657,1.577950768,2.672422654,2.107375815,2.178217822,1.083743842,1.076320939,1.174168297,9383,9364,9339,9325,9338,9335,9380,9506,9729,9965,10100,10150,10220
E05000030,5,Barking and Dagenham,Eastbrook,74.73973679,85.99071972,77.3661734,76.34730539,90.69093091,92.34166416,86.60785886,85.35980149,83.60097324,67.04176998,74.40758294,64.88262911,58.49765258,66.66666667,15.71400511,17.47457794,18.67116893,18.56287425,28.19718028,22.68393054,28.66880513,26.30272953,25.40145985,17.3564753,15.92417062,17.74647887,15.58685446,24.69483568,0.785700255,1.184717149,0.59588837,0.798403194,0.799920008,0.702599619,1.90457097,0.992555831,1.459854015,0.667556742,0.947867299,0.845070423,2.0657277,1.690140845,2.946375958,2.07325501,2.184924024,2.694610778,2.399760024,2.107798856,1.403368083,2.282878412,2.238442822,2.098035476,3.033175355,2.159624413,1.408450704,1.877934272,9.133765468,8.391746471,9.832158109,8.982035928,10.1989801,10.73973703,5.813953488,7.94044665,10.70559611,8.67823765,12.7014218,10.70422535,7.699530516,8.544600939,24.16028285,29.32174943,24.23279372,26.54690619,26.39736026,26.39767138,21.65196472,23.12655087,21.60583942,19.93133702,24.64454976,18.87323944,19.06103286,17.84037559,2.749950894,2.566887156,1.092462012,1.596806387,1.799820018,2.408912978,2.105052125,2.481389578,2.725060827,1.71657448,2.654028436,4.037558685,0.187793427,0,15.41936751,19.3503801,16.18830072,14.27145709,16.99830017,19.97390344,17.84282277,13.99503722,12.94403893,10.77627313,8.056872038,5.915492958,6.948356808,6.197183099,2.848163426,3.949057163,3.376700765,2.095808383,2.599740026,5.620796949,6.716118685,7.543424318,4,5,4,4,4,4,1,2,1,1,1,2,0.501202887,0.694789082,2.141119221,0.667556742,2.369668246,0.563380282,1.314553991,2.253521127,10182,10129,10069,10020,10001,9963,9976,10075,10275,10486,10550,10650,10650
E05000031,6,Barking and Dagenham,Eastbury,99.75454099,96.47150816,108.5580761,119.1514095,104.6411069,133.5116035,121.0347432,105.0245211,97.350696,105.5565233,81.1965812,75.91489362,71.27062426,82.15682939,18.36033382,18.86423615,25.70343686,28.28635087,26.23234361,25.59449909,29.2673716,25.72406773,25.95419847,25.86657377,19.23076923,17.87234043,18.96581051,25.17434938,1.080019637,0.977421562,0.973615033,0.968710646,1.056980878,1.432527934,1.132930514,0.647728324,0.987876066,1.741856819,1.538461538,1.276595745,2.126211941,2.126211941,3.436426117,3.127748998,3.310291111,3.77797152,3.939656001,3.247063318,2.737915408,3.238641621,3.951504266,4.877199094,3.931623932,3.489361702,1.956114986,1.275727164,10.40746195,10.94712149,10.70976536,12.01201201,10.85807629,15.47130169,8.402567976,9.900990099,13.56084419,12.01881205,10.51282051,13.27659574,9.015138629,10.54601123,27.58959254,28.05199883,30.27942751,34.38922794,31.90160469,34.47617229,34.83761329,26.83445915,26.67265379,35.01132207,26.32478632,22.29787234,28.23609457,28.91648239,21.79675994,14.2703548,15.38311752,8.912137944,7.783222831,28.84156241,18.50453172,11.38151198,7.813201617,6.444870232,3.076923077,3.829787234,0,0,15.70937653,16.42068224,18.0118781,28.67383513,19.60219083,21.0104097,20.10951662,19.33931711,13.92007185,13.67357603,9.914529915,7.744680851,6.803878211,9.35533254,1.17820324,2.541296061,2.823483595,1.25932384,2.113961757,2.674052144,4.909365559,6.754881096,4,4,5,5,3,3,0,1,1,1,1,1,1.132930514,1.202924031,0.628648406,1.654763978,1.709401709,1.361702128,0.765436299,2.041163463,10185,10231,10271,10323,10407,10471,10592,10807,11135,11482,11700,11750,11758
E05000032,7,Barking and Dagenham,Gascoigne,277.3313597,239.4030469,219.6461257,190.3717731,170.320569,162.4665903,133.4201712,122.7628384,107.370415,128.6043829,122.2310757,104.0449438,89.85897527,75.82736872,39.22605202,40.93688465,33.96379906,32.0940895,35.8569619,30.92783505,33.12244138,31.29777858,27.81126227,26.03394299,23.90438247,18.87640449,20.33874282,22.81907732,1.480228378,1.969115971,1.525320317,1.09638194,1.169248758,2.290950745,1.023446223,1.259106035,1.463750646,1.318174329,1.992031873,1.348314607,1.417333995,1.417333995,10.46732925,10.46740595,9.762050031,7.674673577,8.379616097,6.300114548,4.931149981,4.04712654,4.735663854,4.943153732,5.019920319,3.220973783,2.480334491,1.629934094,26.22118841,27.15307286,21.25279642,15.94737367,16.27204521,20.6185567,9.304056569,10.16278442,10.3323575,6.838029329,9.721115538,10.86142322,5.881936078,7.441003472,85.11313174,74.20458079,65.28370958,55.01843915,57.19575173,57.46468118,44.00818757,36.6939473,29.87773377,39.62761575,32.27091633,39.70037453,40.89008575,27.9923464,73.58849651,46.84423256,48.60687411,53.72271504,23.48241255,14.70026728,11.07182732,11.96150733,11.88221112,23.72713791,26.29482072,12.43445693,0.354333499,0.141733399,35.84267287,27.36034822,26.13382144,19.1368484,21.72853941,22.1458572,16.65426126,15.10927242,11.88221112,12.19311254,10.59760956,8.314606742,9.070937566,7.228403373,4.123493339,8.705565344,11.69412243,3.887172331,5.066744617,6.204658267,11.25790845,11.24201817,8,12,11,8,8,6,1,2,1,2,1,2,2.046892445,0.989297599,1.463750646,1.730103806,1.195219124,1.198501873,1.629934094,1.559067394,9458,9649,9834,10033,10263,10476,10748,11119,11614,12138,12550,13350,14111
E05000033,8,Barking and Dagenham,Goresbrook,78.49534594,75.10564733,99.25940175,103.2326342,98.93484311,86.28954938,88.91642047,89.31254696,93.11703785,94.28060769,83.6123348,76.91629956,77.4784293,74.83711921,16.79301411,17.86400307,27.21939021,26.45757168,28.50014394,24.35282838,25.63613838,29.77084899,28.13674274,28.86505809,22.11453744,20.08810573,23.68374714,25.97288255,0.863640725,0.768344218,1.250360681,1.827977679,1.823241532,0.958772771,0.857714667,1.314800902,0.641554395,1.429848079,1.585903084,0.528634361,0.880436697,1.760873393,3.454562902,1.728774491,2.596902953,2.309024437,2.686882257,4.026845638,4.288573335,3.568745304,4.215928879,2.859696157,5.63876652,2.731277533,3.081528438,2.46522275,8.732367335,6.530925855,8.367798403,10.67923802,8.060646771,5.560882071,5.146288002,6.010518407,11.73128036,11.88561215,8.634361233,11.89427313,10.12502201,10.21306568,24.94962096,25.83557434,28.46975089,28.57417741,26.10114192,23.58581016,28.11398075,23.38467318,23.64586197,27.43521001,25.9030837,23.96475771,23.33157246,17.60873393,2.207081854,1.536688436,1.923631817,1.635558976,1.343441128,2.492809204,2.477842371,2.347858753,3.666025112,2.591599643,3.524229075,2.907488987,0.176087339,0.176087339,19.00009596,16.9035728,25.58430316,28.67038676,27.63650321,23.48993289,16.58248356,17.09241172,16.86371552,14.11974978,11.27753304,11.45374449,12.50220109,11.44567706,1.919201612,2.305032655,3.173992498,2.116605734,1.439401209,1.438159156,4.765081483,4.413974455,3,3,3,2,2,4,1,2,1,1,1,0,1.048317926,1.408715252,1.558060673,1.787310098,1.938325991,1.233480176,1.232611375,1.672829724,10421,10412,10397,10394,10421,10430,10493,10648,10911,11190,11350,11350,11358
E05000034,9,Barking and Dagenham,Heath,103.6147053,106.7473339,103.7803504,117.268173,115.3494049,127.7501774,119.332462,107.4322989,99.19184145,97.04285982,102.8571429,96.34703196,83.28767123,83.65296804,21.77038406,22.04675964,29.81251921,31.89857888,34.17760146,33.4583798,34.68382427,33.89998023,32.03771407,27.60621374,21.84331797,21.00456621,21.36986301,24.65753425,1.745738345,1.333059885,1.331830755,1.431346488,1.729223884,1.723613505,1.50799236,1.482506424,0.962093515,1.590866554,1.474654378,1.826484018,1.095890411,3.105022831,3.183405217,3.691550451,3.175904108,2.555975872,3.661885871,3.954172159,3.719714487,3.162680372,3.463536656,3.743215422,6.451612903,4.748858447,3.105022831,2.191780822,12.63093038,9.844134537,7.888536011,16.35824558,9.968467094,11.65973842,7.942093093,9.290373592,11.92995959,12.53977166,15.48387097,13.33333333,11.05022831,9.315068493,31.11521873,37.01804758,28.89048253,36.09037931,35.49994914,39.33894353,31.66783955,25.4991105,25.20685011,29.29066068,37.14285714,33.24200913,31.14155251,29.8630137,3.902238653,6.255127153,7.376293413,3.271649116,2.949852507,5.880563723,5.629838142,5.337023127,3.463536656,3.462474265,2.02764977,3.561643836,0.182648402,0.365296804,25.26186075,20.20098441,19.87501281,21.87915346,23.49710101,28.18615026,25.63587011,18.58074718,15.6821243,13.10125398,11.98156682,12.32876712,9.315068493,9.497716895,2.567262272,4.204265792,3.278352628,2.862692976,3.051571559,2.433336713,6.635166382,9.19153983,5,4,5,4,4,3,1,2,2,1,1,1,1.910123655,0.988337616,1.058302867,1.310125398,1.935483871,2.00913242,1.917808219,1.278538813,9738,9752,9761,9781,9831,9863,9947,10118,10394,10686,10850,10950,10950
E05000035,10,Barking and Dagenham,Longbridge,76.89732143,67.1641791,82.0822983,88.86293662,70.57354013,89.26380368,77.44578795,72.82587643,75.01394311,81.14132858,78.78787879,66.00858369,57.59877123,57.00145064,11.49553571,10.6453029,13.93239011,15.71292069,12.17861976,18.30265849,16.68831818,17.14119698,18.68377022,17.03076237,16.01731602,11.41630901,11.09309668,16.81030805,0.558035714,0.329236172,0.54001512,0.530841915,1.040907671,0.81799591,0.599580294,0.968429208,1.208403049,0.891662951,1.125541126,0.686695279,1.023978155,0.938646642,5.245535714,4.170324846,3.024084674,5.626924302,6.245446029,6.134969325,3.797341861,3.68003099,5.298382599,6.509139545,4.502164502,3.004291845,3.157265978,2.303950849,16.29464286,7.462686567,11.55632358,12.95254273,8.119079838,8.588957055,8.593984211,7.941119504,8.644729504,9.629959875,13.41991342,12.01716738,9.642460961,9.642460961,26.67410714,28.64354697,37.90906145,36.84042892,27.37587176,36.50306748,24.98251224,23.33914391,24.16806098,27.5523852,28.3982684,25.83690987,22.10086185,18.85826436,1.227678571,1.207199298,0.648018145,0.849347064,1.353179973,2.249488753,3.797341861,1.452643812,2.416806098,2.139991083,2.857142857,2.575107296,0.085331513,0.085331513,13.95089286,10.97453907,12.0963387,13.58955303,11.55407515,11.96319018,10.59258519,7.747433663,9.295408068,9.184128399,7.0995671,3.948497854,3.327929004,4.266575646,0.892857143,2.853380158,1.836051409,2.229536044,1.873633809,3.783231084,6.995103428,9.781134999,4,7,5,5,6,3,1,1,1,1,1,1,1.399020686,0.774743366,0.929540807,0.980829247,0.865800866,1.373390558,0.853315129,1.023978155,8960,9112,9259,9419,9607,9780,10007,10326,10758,11215,11550,11650,11719
